header_update,time,theta
27:36.7,273.5128626,
27:38.4,284.8516974,
27:38.4,283.7115114,
27:38.5,283.0984465,
27:38.5,281.6889704,
27:38.6,281.5113534,
27:38.6,281.6030267,
27:38.7,280.2852238,
27:38.7,280.8982886,
27:38.8,280.1076068,
27:38.8,280.8123449,
27:38.8,280.7206717,
27:38.9,280.4571111,
27:38.9,280.9842323,
27:39.0,280.8123449,
27:39.0,280.8982886,
27:39.1,280.9842323,
27:39.1,280.9842323,
27:39.2,281.2477929,
27:39.2,281.2477929,
27:39.3,281.4254098,
27:39.3,281.5113534,
27:39.4,281.6889704,
27:39.4,281.6030267,
27:39.5,281.5113534,
27:39.5,281.1618492,
27:39.6,280.9842323,
27:39.6,280.5487843,
27:39.7,280.2852238,
27:39.7,279.6664293,
27:39.7,279.4028688,
27:39.8,278.9674208,
27:39.8,278.7038602,
27:39.9,278.8757476,
27:39.9,278.8757476,
27:40.0,279.2309814,
27:40.0,279.4028688,
27:40.1,279.494542,
27:40.1,279.494542,
27:40.2,279.7581026,
27:40.2,279.6664293,
27:40.3,279.8440463,
27:40.3,280.0216632,
27:40.3,280.1935505,
27:40.4,280.4571111,
27:40.4,280.5487843,
27:40.5,280.634728,
27:40.5,280.634728,
27:40.6,280.4571111,
27:40.6,280.4571111,
27:40.7,280.4571111,
27:40.7,280.4571111,
27:40.8,280.3711674,
27:40.8,280.4571111,
27:40.9,280.634728,
27:40.9,280.7206717,
27:41.0,280.5487843,
27:41.0,280.634728,
27:41.1,280.7206717,
27:41.1,280.634728,
27:41.2,280.4571111,
27:41.2,280.634728,
27:41.2,280.5487843,
27:41.3,280.7206717,
27:41.3,280.8982886,
27:41.4,280.9842323,
27:41.4,280.9842323,
27:41.5,280.8982886,
27:41.5,280.8123449,
27:41.6,280.9842323,
27:41.6,280.7206717,
27:41.7,280.7206717,
27:41.7,280.8982886,
27:41.8,280.8982886,
27:41.8,280.8123449,
27:41.9,280.7206717,
27:41.9,280.8123449,
27:41.9,280.5487843,
27:42.0,280.5487843,
27:42.0,280.4571111,
27:42.1,280.4571111,
27:42.1,280.2852238,
27:42.2,280.3711674,
27:42.2,280.3711674,
27:42.3,280.2852238,
27:42.3,280.4571111,
27:42.4,280.4571111,
27:42.4,280.2852238,
27:42.5,280.5487843,
27:42.5,280.5487843,
27:42.5,280.4571111,
27:42.6,280.634728,
27:42.7,280.5487843,
27:42.7,280.5487843,
27:42.7,280.3711674,
27:42.8,280.3711674,
27:42.8,280.1935505,
27:42.9,280.2852238,
27:42.9,280.3711674,
27:43.0,280.4571111,
27:43.0,280.4571111,
27:43.1,280.3711674,
27:43.1,280.3711674,
27:43.2,280.2852238,
27:43.2,280.2852238,
27:43.3,280.1935505,
27:43.3,280.2852238,
27:43.4,280.2852238,
27:43.4,280.2852238,
27:43.4,280.1935505,
27:43.5,280.1935505,
27:43.5,280.1076068,
27:43.6,280.1076068,
27:43.6,279.9299899,
27:43.7,279.8440463,
27:43.7,280.0216632,
27:43.8,280.0216632,
27:43.8,280.1935505,
27:43.9,280.0216632,
27:43.9,280.9842323,
27:44.0,282.657269,-24.74
27:44.0,281.3394661,5.89
27:44.1,281.1618492,1.72
27:44.1,282.3020352,-17.98
27:44.1,281.2477929,5.54
27:44.2,280.8123449,-15.91
27:44.2,281.6889704,-13.76
27:44.3,280.5487843,8.38
27:44.3,280.8123449,-22.16
27:44.4,282.0384746,-22.16
27:44.4,281.3394661,-14.75
27:44.5,279.8440463,-1.92
27:44.5,282.2160915,-28.19
27:44.6,281.6889704,-11.98
27:44.6,281.0759055,-5.72
27:44.7,281.2477929,-30.38
27:44.7,281.1618492,-10.47
27:44.8,282.3020352,-17.13
27:44.8,281.6030267,-14.2
27:44.8,280.3711674,-16.67
27:44.9,281.4254098,-19
27:45.0,280.9842323,-4.61
27:45.0,281.5113534,-28.69
27:45.0,282.1301479,-13.46
27:45.1,281.3394661,-13.46
27:45.1,281.5113534,-28.31
27:45.2,282.2160915,-28.31
27:45.2,281.5113534,-12.84
27:45.3,281.2477929,-19.64
27:45.3,280.9842323,-24.95
27:45.4,280.7206717,-17.13
27:45.4,282.3937084,-17.51
27:45.5,280.8123449,-9.31
27:45.5,281.1618492,-28.72
27:45.6,281.6889704,-21.2
27:45.6,280.8982886,-10.47
27:45.6,280.9842323,-31.4
27:45.7,282.0384746,-31.4
27:45.7,281.6030267,-21.45
27:45.8,281.1618492,-14.39
27:45.8,280.9842323,-29.89
27:45.9,280.8123449,-22.45
27:45.9,280.634728,-16.22
27:46.0,281.774914,-25.5
27:46.0,281.9525309,-25.2
27:46.1,280.634728,-11.03
27:46.1,279.9299899,-20.33
27:46.2,281.4254098,-30.45
27:46.2,282.2160915,-24.56
27:46.3,280.8982886,-7.52
27:46.3,280.1935505,-7.52
27:46.4,281.0759055,-29.43
27:46.4,282.1301479,-31.12
27:46.5,280.8982886,-16.06
27:46.5,280.9842323,-24.62
27:46.5,281.6030267,-34.51
27:46.6,281.4254098,-23.92
27:46.6,281.5113534,-20.59
27:46.7,281.2477929,-27.27
27:46.7,280.9842323,-23.38
27:46.8,280.8982886,-21.4
27:46.8,281.1618492,-30.89
27:46.9,281.6030267,-23.97
27:46.9,281.3394661,-23.97
27:47.0,281.0759055,-22.94
27:47.0,281.5113534,-30.6
27:47.1,281.3394661,-28.69
27:47.1,281.2477929,-22.06
27:47.1,281.4254098,-27.39
27:47.2,281.4254098,-25.63
27:47.2,281.4254098,-31.4
27:47.3,281.0759055,-19.87
27:47.3,281.4254098,-30.57
27:47.4,281.6030267,-32.53
27:47.4,281.4254098,-25.45
27:47.5,280.8982886,-24.08
27:47.5,280.634728,-29.57
27:47.6,281.1618492,-29.57
27:47.6,280.9842323,-30.45
27:47.7,281.774914,-30.95
27:47.7,281.0759055,-26.08
27:47.8,280.9842323,-26.08
27:47.8,281.0759055,-30.82
27:47.8,281.4254098,-30.53
27:47.9,281.3394661,-28.31
27:47.9,280.8982886,-27.39
27:48.0,280.5487843,-32.27
27:48.0,280.4571111,-31.02
27:48.2,280.634728,-30.82
27:48.2,280.4571111,-31.25
27:48.3,280.3711674,-31.25
27:48.3,280.5487843,-32.43
27:48.4,280.0216632,-31.74
