time,theta,motorvelocity
00.0,278.5262433,-3.68
00.0,279.9299899,-22.34
00.1,281.1618492,-29.07
00.1,281.9525309,-19.36
00.2,280.8982886,-18.48
00.2,281.774914,-24.5
00.2,281.6889704,-9.42
00.3,281.3394661,-26.8
00.3,282.2160915,-17
00.4,280.4571111,-20.48
00.4,281.4254098,-20.48
00.5,281.3394661,-29.1
00.5,281.1618492,-12.78
00.6,281.8665873,-22.9
00.6,281.6889704,-16.14
00.7,280.0216632,-16.22
00.7,281.5113534,-25.94
00.8,281.6889704,-19.93
00.8,281.2477929,-19.88
00.8,280.8982886,-24.95
00.9,281.6889704,-15
00.9,280.8123449,-22.34
01.0,281.5113534,-22.34
01.0,281.6030267,-28.55
01.1,281.6030267,-22.02
01.1,280.0216632,-13.93
01.2,281.6889704,-30.72
01.2,281.6030267,-20.48
01.3,281.3394661,-21.41
01.3,281.1618492,-30.38
01.4,280.5487843,-11.12
01.4,281.4254098,-25.63
01.5,281.5113534,-30.87
01.5,280.9842323,-23.5
01.6,281.3394661,-17.95
01.6,282.0384746,-30.1
01.7,281.4254098,-25.25
01.7,281.3394661,-21.41
01.7,280.634728,-21.41
01.8,280.4571111,-12.04
01.8,280.9842323,-29.57
01.9,281.6889704,-30.1
01.9,281.8665873,-24.66
02.0,280.8982886,-18.13
02.0,281.3394661,-28.62
02.1,281.0759055,-24.87
02.1,281.774914,-22.75
02.2,280.9842323,-27.67
02.2,280.9842323,-27.33
02.3,281.5113534,-22.41
02.3,280.7206717,-22.41
02.3,281.3394661,-26.84
02.4,281.1618492,-29.35
02.4,281.6889704,-26.45
02.5,280.8123449,-29.57
02.5,281.2477929,-28.98
02.6,281.6889704,-26.94
02.6,280.8982886,-25.45
02.7,281.0759055,-30.03
02.7,281.3394661,-23.86
02.8,281.3394661,-29.8
02.8,281.2477929,-29.86
02.9,281.0759055,-27.53
02.9,281.6889704,-27.66
03.0,281.1618492,-30.95
03.0,281.2477929,-28.65
03.1,281.4254098,-29.28
03.1,281.3394661,-29.28
03.2,281.4254098,-26.8
03.2,281.0759055,-27.46
03.2,281.5113534,-29.57
03.3,281.4254098,-30.38
03.3,281.8665873,-28.19
03.4,280.8123449,-26.72
03.4,280.7206717,-31.02
03.5,280.5487843,-29.43
03.5,280.5487843,-31.33
03.6,280.8982886,-32.82
03.6,280.634728,-32.82
03.7,280.634728,-28.98
03.7,280.2852238,-31.42
03.8,280.5487843,-31.42
03.8,280.2852238,-32.35
03.9,280.0216632,-30.23
