times,theta
00.0,278.5262433
00.0,279.9299899
00.1,281.1618492
00.1,281.9525309
00.2,280.8982886
00.2,281.774914
00.2,281.6889704
00.3,281.3394661
00.3,282.2160915
00.4,280.4571111
00.4,281.4254098
00.5,281.3394661
00.5,281.1618492
00.6,281.8665873
00.6,281.6889704
00.7,280.0216632
00.7,281.5113534
00.8,281.6889704
00.8,281.2477929
00.8,280.8982886
00.9,281.6889704
00.9,280.8123449
01.0,281.5113534
01.0,281.6030267
01.1,281.6030267
01.1,280.0216632
01.2,281.6889704
01.2,281.6030267
01.3,281.3394661
01.3,281.1618492
01.4,280.5487843
01.4,281.4254098
01.5,281.5113534
01.5,280.9842323
01.6,281.3394661
01.6,282.0384746
01.7,281.4254095
01.7,281.3394661
01.7,280.634728
01.8,280.4571111
01.8,280.9842323
01.9,281.6889704
01.9,281.8665873
02.0,280.8982886
02.0,281.3394661
02.1,281.0759055
02.1,281.774914
02.2,280.9842323
02.2,280.9842323
02.3,281.5113534
02.3,280.7206717
02.3,281.3394661
02.4,281.1618492
02.4,281.6889704
02.5,280.8123449
02.5,281.2477929
02.6,281.6889704
02.6,280.8982886
02.7,281.0759055
02.7,281.3394661
02.8,281.3394661
02.8,281.2477929
02.9,281.0759055
02.9,281.6889704
03.0,281.1618492
03.0,281.2477929
03.1,281.4254098
03.1,281.3394661
03.2,281.4254098
03.2,281.0759055
03.2,281.5113534
03.3,281.4254098
03.3,281.8665873
03.4,280.8123449
03.4,280.7206717
03.5,280.5487843
03.5,280.5487843
03.6,280.8982886
03.6,280.634728
03.7,280.634728
03.7,280.2852238
03.8,280.5487843
03.8,280.2852238
03.9,280.0216632
03.9,280.0216632
04.0,279.5804857
04.0,279.4028688
04.0,278.8757476
04.1,278.4402997
04.1,277.907448
04.2,277.472001
04.2,276.8532066
04.3,275.8906375
04.3,275.0082825
04.4,274.3952176
04.4,273.3409753
04.5,271.7596118
04.5,270.3501356
04.6,268.6828284
04.6,266.923848
04.6,264.7294196
04.7,262.1797574
04.7,258.7477402
04.8,255.4990695
04.8,251.7175481
04.9,246.709897
04.9,241.5246289
05.0,235.5486791
05.0,228.0773095
05.1,219.7293144
05.1,210.584908
05.2,198.5470647
05.2,183.9538297
05.3,169.8934454
05.3,157.9415458
05.4,146.8662716
05.4,145.6344123
05.4,120.2351933
05.5,105.9055188
05.5,91.49563029
05.6,79.71561803
05.6,69.08152135
05.7,57.21556541
05.7,46.49552507
05.8,31.20328152
05.8,16.87360706
05.9,4.308642619
05.9,-6.417127305
06.0,-19.77277351
06.0,-33.39770987
06.1,-41.65976128
06.1,-47.813328
06.1,-53.08453971
06.2,-58.79692893
06.2,-63.71863639
06.3,-68.02727901
06.3,-72.07236104
06.4,-76.02576983
06.4,-79.89323494
06.5,-80.15679553
06.5,-77.25762909
06.6,-77.08001217
06.6,-79.10255319
06.7,-77.87069393
06.7,-76.46694733
06.8,-78.8389926
06.8,-78.92493627
06.9,-76.1117135
06.9,-77.60713334
07.0,-79.01087994
07.0,-77.08001217
07.0,-76.20338674
07.1,-77.69307701
07.1,-79.89323494
07.2,-77.25762909
07.2,-76.28933041
07.3,-77.52118967
07.3,-77.87069393
07.4,-76.28933041
07.4,-76.37527408
07.5,-78.22019818
07.5,-79.36611377
07.6,-76.90239525
07.6,-76.73050791
07.6,-77.60713334
07.7,-79.62967436
07.7,-77.42951642
07.8,-76.63883467
07.8,-77.69307701
07.9,-78.92493627
07.9,-76.552891
08.0,-76.552891
08.0,-77.16595584
08.1,-78.74731935
08.1,-77.34357275
08.2,-78.04831084
08.2,-78.13425451
08.3,-77.60713334
08.3,-78.3978151
08.4,-77.60713334
08.4,-77.9566376
08.4,-77.87069393
08.5,-77.42951642
08.5,-77.9566376
08.6,-78.13425451
08.6,-77.69307701
08.7,-76.28933041
08.7,-76.73050791
08.8,-76.63883467
08.8,-76.73050791
08.9,-77.25762909
08.9,-77.25762909
09.0,-77.25762909
09.0,-77.52118967
09.1,-77.16595584
09.1,-76.90239525
09.2,-76.63883467
09.2,-76.28933041
09.2,-76.20338674
09.3,-75.49864865
09.3,-74.97152748
09.4,-74.18084573
09.4,-73.29849072
09.5,-72.59948221
09.5,-71.54523987
09.6,-70.31338061
09.6,-68.90390443
09.7,-67.32254092
09.7,-65.83285065
09.8,-63.8962533
09.8,-61.43826436
09.8,-58.97454585
09.9,-55.98370615
10.0,-51.76673678
10.0,-48.16283225
10.0,-44.03180655
10.1,-38.405361
10.1,-31.20328152
10.2,-21.26819335
10.2,-4.92170746
10.3,11.86595594
10.3,37.52873558
10.4,59.41572335
10.4,75.41270499
10.5,95.09953482
10.5,114.6946914
10.5,133.1553916
10.6,150.8196804
10.6,169.5382116
10.7,190.1933401
10.7,212.1662715
10.8,228.8679912
10.8,243.9826179
10.9,257.6934979
10.9,271.8455554
11.0,283.7115114
11.0,293.5549263
11.1,299.8803804
11.1,304.189023
11.2,308.4976656
11.2,313.4193731
11.3,319.3953229
11.3,326.7750193
11.3,336.3548736
11.4,351.4752298
11.4,364.1318675
11.5,394.1892334
11.5,416.6033424
11.6,434.9723693
11.6,453.0778356
11.7,470.0373863
11.7,488.8475907
11.8,506.9530571
11.8,528.1353067
11.9,545.536035
11.9,562.7648759
12.0,578.9337449
12.0,592.9998587
12.1,606.7107388
12.1,617.3448354
12.2,628.8555575
12.2,638.5270851
12.2,647.1386408
12.3,650.5649284
12.3,649.7742466
12.4,645.4713336
12.4,640.7215135
12.5,637.1176089
12.5,636.8540484
12.6,633.2501438
12.6,625.3433263
12.7,617.1672185
12.7,608.6416065
12.8,598.7981916
12.8,586.4967878
12.8,572.0811696
12.9,557.0524867
12.9,541.8461868
13.0,527.344625
13.0,513.2785111
13.1,495.264718
13.1,479.7948576
13.2,462.9212505
13.2,448.6832493
13.3,436.1125553
13.3,422.2240583
13.4,408.341291
13.4,390.0582077
13.5,388.0356667
13.5,349.5386325
13.6,329.1527941
13.6,314.3819421
