time,motorvelocity
00.0,-3.68
00.0,-22.34
00.1,-29.07
00.1,-19.36
00.2,-18.48
00.2,-24.5
00.2,-9.42
00.3,-26.8
00.3,-17
00.4,-20.48
00.4,-20.48
00.5,-29.1
00.5,-12.78
00.6,-22.9
00.6,-16.14
00.7,-16.22
00.7,-25.94
00.8,-19.93
00.8,-19.88
00.8,-24.95
00.9,-15
00.9,-22.34
01.0,-22.34
01.0,-28.55
01.1,-22.02
01.1,-13.93
01.2,-30.72
01.2,-20.48
01.3,-21.41
01.3,-30.38
01.4,-11.12
01.4,-25.63
01.5,-30.87
01.5,-23.5
01.6,-17.95
01.6,-30.1
01.7,-25.25
01.7,-21.41
01.7,-21.41
01.8,-12.04
01.8,-29.57
01.9,-30.1
01.9,-24.66
02.0,-18.13
02.0,-28.62
02.1,-24.87
02.1,-22.75
02.2,-27.67
02.2,-27.33
02.3,-22.41
02.3,-22.41
02.3,-26.84
02.4,-29.35
02.4,-26.45
02.5,-29.57
02.5,-28.98
02.6,-26.94
02.6,-25.45
02.7,-30.03
02.7,-23.86
02.8,-29.8
02.8,-29.86
02.9,-27.53
02.9,-27.66
03.0,-30.95
03.0,-28.65
03.1,-29.28
03.1,-29.28
03.2,-26.8
03.2,-27.46
03.2,-29.57
03.3,-30.38
03.3,-28.19
03.4,-26.72
03.4,-31.02
03.5,-29.43
03.5,-31.33
03.6,-32.82
03.6,-32.82
03.7,-28.98
03.7,-31.42
03.8,-31.42
03.8,-32.35
03.9,-30.23
03.9,-30.2
04.0,-31.09
04.0,-30.53
04.0,-29.8
04.1,-30.82
04.1,-30.72
04.2,-32.74
04.2,-29.64
04.3,-31.88
04.3,-30.87
04.4,-30.87
04.4,-32.43
04.5,-31.65
04.5,-30.49
04.6,-30.23
04.6,-32.19
04.6,-32.43
04.7,-31.67
04.7,-32.43
04.8,-33.39
04.8,-30.45
04.9,-30.71
04.9,-31.02
05.0,-30.45
05.0,-30.45
05.1,-29.72
05.1,-31.8
05.2,-31.33
05.2,-29.15
05.3,-28.19
05.3,-28.58
05.4,-28.04
05.4,-29.56
05.4,-30
05.5,-30.72
05.5,-30.32
05.6,-29.79
05.6,-29.86
05.7,-29.76
05.7,-29.5
05.8,-29.5
05.8,-30.79
05.9,-30.2
05.9,-29.85
06.0,-4.6
06.0,22
06.1,28.82
06.1,29.96
06.1,29.72
06.2,29.65
06.2,31.64
06.3,29.89
06.3,29.89
06.4,29.89
06.4,28.62
06.5,13.32
06.5,-18.44
06.6,-2.77
06.6,24.74
06.7,-0.91
06.7,-11.04
06.8,19.93
06.8,3.82
06.9,-6.64
06.9,18.94
07.0,12.7
07.0,-14.36
07.0,14.89
07.1,26.78
07.1,26.78
07.2,6.63
07.2,-9.49
07.3,17.9
07.3,26.36
07.4,-6.86
07.4,11.5
07.5,27.67
07.5,21.31
07.6,-8.47
07.6,20.94
07.6,20.94
07.7,28.48
07.7,14.27
07.8,4.72
07.8,24.03
07.9,31.09
07.9,1.69
08.0,19.08
08.0,28.86
08.1,30.94
08.1,13.39
08.2,28.31
08.2,14.1
08.3,27.73
08.3,28.51
08.4,28.51
08.4,21.89
08.4,29.89
08.5,17.82
08.5,25.51
08.6,28.55
08.6,17.3
08.7,21.62
08.7,30.45
08.8,31.4
08.8,30.87
08.9,30.87
08.9,30.28
