time

# header_update,time,w

# header_update,time,w,theta
13:27:32.731,0.02,-0.7041
13:27:34.254,0.02,5.5331
13:27:34.301,0.02,5.5223
13:27:34.346,0.02,5.5423
13:27:34.392,0.02,5.5377
13:27:34.439,0.02,5.5699
13:27:34.487,0.02,5.576
13:27:34.533,0.02,5.5914
13:27:34.580,0.02,5.573
13:27:34.626,0.02,5.5898
13:27:34.672,0.02,5.5883
13:27:34.718,0.02,5.6082
13:27:34.765,0.02,5.599
13:27:34.813,0.02,5.6052
13:27:34.859,0.02,5.6067
13:27:34.906,0.02,5.6328
13:27:34.952,0.02,5.6113
13:27:35.000,0.02,5.6159
13:27:35.046,0.02,5.619
13:27:35.093,0.02,5.6174
13:27:35.140,0.02,5.6067
13:27:35.187,0.02,5.5883
13:27:35.234,0.02,5.622
13:27:35.280,0.02,5.5975
13:27:35.326,0.02,5.6021
13:27:35.373,0.02,5.6082
13:27:35.419,0.02,5.5852
13:27:35.465,0.02,5.5791
13:27:35.511,0.02,5.5637
13:27:35.559,0.02,5.5576
13:27:35.605,0.02,5.5637
13:27:35.652,0.02,5.5684
13:27:35.699,0.02,5.5423
13:27:35.746,0.02,5.553
13:27:35.792,0.02,5.5515
13:27:35.839,0.02,5.5561
13:27:35.887,0.02,5.5423
13:27:35.934,0.02,5.5438
13:27:35.980,0.02,5.5208
13:27:36.026,0.02,5.5469
13:27:36.074,0.02,5.5361
13:27:36.120,0.02,5.5407
13:27:36.167,0.02,5.5453
13:27:36.212,0.02,5.5423
13:27:36.259,0.02,5.5469
13:27:36.305,0.02,5.5269
13:27:36.351,0.02,5.5377
13:27:36.397,0.02,5.5591
13:27:36.443,0.02,5.5576
13:27:36.489,0.02,5.5668
13:27:36.535,0.02,5.5591
13:27:36.582,0.02,5.576
13:27:36.629,0.02,5.573
13:27:36.691,0.02,5.5837
13:27:36.738,0.02,5.5929
13:27:36.784,0.02,5.573
13:27:36.830,0.02,5.5745
13:27:36.876,0.02,5.596
13:27:36.924,0.02,5.599
13:27:36.970,0.02,5.5929
13:27:37.018,0.02,5.5898
13:27:37.065,0.02,5.5791
13:27:37.111,0.02,5.5699
13:27:37.159,0.02,5.5822
13:27:37.206,0.02,5.5668
13:27:37.253,0.02,5.5791
13:27:37.298,0.02,5.5898
13:27:37.345,0.02,5.5653
13:27:37.391,0.02,5.5791
13:27:37.438,0.02,5.5929
13:27:37.483,0.02,5.573
13:27:37.530,0.02,5.5346
13:27:37.578,0.02,5.5714
13:27:37.624,0.02,5.573
13:27:37.673,0.02,5.5637
13:27:37.717,0.02,5.573
13:27:37.764,0.02,5.5607
13:27:37.810,0.02,5.5576
13:27:37.856,0.02,5.573
13:27:37.901,0.02,5.5637
13:27:37.947,0.02,5.5622
13:27:37.995,0.02,5.5684
13:27:38.042,0.02,5.5684
13:27:38.088,0.02,5.5668
13:27:38.133,0.02,5.5699
13:27:38.180,0.02,5.5776
13:27:38.226,0.02,5.5668
13:27:38.272,0.02,5.5806
13:27:38.319,0.02,5.5453
13:27:38.365,0.02,5.5929
13:27:38.412,0.02,5.5699
13:27:38.459,0.02,5.5484
13:27:38.504,0.02,5.576
13:27:38.566,0.02,5.5499
13:27:38.611,0.02,5.5791
13:27:38.658,0.02,5.5714
13:27:38.704,0.02,5.5622
13:27:38.751,0.02,5.5822
13:27:38.797,0.02,5.5423
13:27:38.844,0.02,5.576
13:27:38.890,0.02,5.5684
13:27:38.937,0.02,5.5668
13:27:38.983,0.02,5.5622
13:27:39.029,0.02,5.5745
13:27:39.075,0.02,5.5545
13:27:39.122,0.02,5.576
13:27:39.169,0.02,5.5653
13:27:39.215,0.02,5.5622
13:27:39.261,0.02,5.5806
13:27:39.306,0.02,5.5622
13:27:39.352,0.02,5.5699
13:27:39.400,0.02,5.5791
13:27:39.447,0.02,5.5668
13:27:39.493,0.02,5.5499
13:27:39.540,0.02,5.5622
13:27:39.588,0.02,5.5591
13:27:39.635,0.02,5.5791
13:27:39.681,0.02,5.5745
13:27:39.729,0.02,5.5653
13:27:39.776,0.02,5.5653
13:27:39.821,0.0,5.5745
13:27:39.868,0.01,5.5484
13:27:39.915,-0.04,5.5407
13:27:39.961,0.0,5.5668
13:27:40.008,0.01,5.5561
13:27:40.055,0.0,5.5453
13:27:40.102,-0.0,5.5438
13:27:40.149,0.02,5.5331
13:27:40.196,0.01,5.5576
13:27:40.241,0.01,5.5576
13:27:40.288,-0.02,5.5392
13:27:40.334,-0.02,5.5576
13:27:40.381,0.0,5.5438
13:27:40.428,-0.01,5.553
13:27:40.474,0.01,5.5438
13:27:40.520,0.01,5.5653
13:27:40.581,-0.01,5.5576
13:27:40.628,0.01,5.5637
13:27:40.674,0.01,5.5484
13:27:40.721,0.0,5.576
13:27:40.767,0.02,5.5499
13:27:40.813,0.0,5.5607
13:27:40.860,-0.01,5.5653
13:27:40.906,-0.01,5.5484
13:27:40.952,0.01,5.5453
13:27:40.996,-0.01,5.5622
13:27:41.044,-0.01,5.5499
13:27:41.089,0.02,5.5637
13:27:41.134,-0.0,5.5591
13:27:41.181,0.01,5.5622
