theta_x,theta_y,motor velocity_x,motor velocity_y
67.8112142086,-2.6023,67.8112649918,-9.86
67.8602368832,-2.5977,67.8602893353,-11.57
67.9093232155,-2.6008,67.9093463421,-11.79
67.9651143551,-2.6008,67.9651463032,-12.52
68.0141339302,-2.6038,68.0141842365,-14.69
68.0630559921,-2.61,68.0630738735,-17.63
68.1100049019,-2.6146,68.1100211143,-18.48
68.1632628441,-2.6207,68.1633059978,-23.57
68.2124612331,-2.6253,68.2124948502,-22.22
68.2615418434,-2.6345,68.2615594864,-23.03
68.3107800484,-2.6391,68.3108129501,-23.8
68.3640105724,-2.6499,68.3640322685,-24.66
68.4132323265,-2.6529,68.4132835865,-25.68
68.4624369144,-2.6621,68.4624662399,-26.69
68.5154857635,-2.6683,68.5155107975,-28.1
68.5648055077,-2.6729,68.5648658276,-29.15
68.6139643192,-2.679,68.6140234470,-27.07
68.6669895649,-2.6836,68.6670408249,-22.83
68.7178053856,-2.6897,68.7178242207,-9.88
68.7663335800,-2.6897,68.7663505077,9.52
68.8148272038,-2.6974,68.8148510456,13.04
68.8677494526,-2.699,68.8677821159,10.72
68.9169116020,-2.7051,68.9169633389,4.55
68.9660499096,-2.7097,68.9660875797,1.72
69.0192673206,-2.7128,69.0193028450,1.67
69.0684785843,-2.7158,69.0685300827,2.51
69.1217308044,-2.7204,69.1217842102,2.59
69.1708977222,-2.7204,69.1709570885,1.72
69.2243435383,-2.7296,69.224388361,1.71
69.2734093666,-2.7235,69.2734789848,5.1
69.3267443180,-2.7342,69.3268554211,13.34
69.3810276985,-2.7404,69.3810565472,21.45
69.4265789986,-2.7419,69.4265937805,27.75
69.474306345,-2.745,69.4743235111,29.63
69.526976347,-2.7496,69.5270087719,31.45
69.5762903690,-2.7526,69.5763309002,31.96
69.6255083084,-2.7588,69.6255393028,31.38
69.6746485233,-2.7603,69.6746890545,32.55
69.7277824879,-2.7603,69.7278113365,33.35
69.7770776749,-2.7634,69.7771279812,31.38
69.8262674809,-2.7664,69.8263387680,28.15
69.879565239,-2.768,69.8796060085,19.9
69.9290213585,-2.7726,69.9290857315,6.94
69.9792103767,-2.771,69.9792978764,-9.85
70.0353970528,-2.7726,70.0354261398,-21.1
70.0815486908,-2.7787,70.0815656185,-27.86
70.1292409897,-2.7756,70.129275322,-29.92
70.1796090603,-2.7787,70.1796417236,-28.31
70.2316219807,-2.7803,70.2316632271,-30.32
70.2808365822,-2.7803,70.2808699608,-29.23
70.3340735435,-2.7818,70.3341214657,-27.39
70.3831748962,-2.7864,70.3832092285,-29.09
70.4324228764,-2.7895,70.4324769974,-29.67
70.4816160202,-2.791,70.4816763401,-29.84
70.5347437859,-2.7956,70.5348234177,-29.91
70.5839219093,-2.7941,70.5839531422,-29.44
70.6331689358,-2.7987,70.6332437992,-27.13
70.6922433376,-2.7971,70.6922690868,-29.5
70.7358880043,-2.8017,70.7359049320,-27.91
70.7849698067,-2.8033,70.7849950790,-29.71
70.8336002827,-2.8048,70.8336224556,-28.5
70.882894516,-2.8063,70.8829312325,-28.1
70.9361212254,-2.8125,70.9361445904,-28.94
70.9853560925,-2.8125,70.9853906631,-20.8
71.0344734192,-2.8155,71.0344996452,6.91
71.0875916481,-2.8186,71.0876312256,17.27
71.1368820667,-2.8201,71.1369290352,15.48
71.1901557446,-2.8217,71.1901936531,10.32
71.2418582439,-2.8263,71.2419178486,5.14
71.2960269451,-2.8278,71.2960777283,1.56
71.342602253,-2.8339,71.3426220417,0.87
71.3954093456,-2.837,71.3954331875,-1.81
71.4401569366,-2.8401,71.440186739,-5.4
71.4931471348,-2.8462,71.4931752682,-0.29
71.5423250198,-2.8523,71.5423533916,-7.34
71.5913662910,-2.8539,71.5914013386,-9.97
